time,e_xx,el_strain_xx,euler_angle_1,euler_angle_2,euler_angle_3,fp_xx,stress_xx,stress_yy,tot_strain_xx,vonmises
0.15390625,0.01557365589483,0,34.340583780475,0.36959442416379,3.7265479982259,1.0118426444122,533.36931618593,-0.00099741086038412,0.015341105111609,465.05830655898
0.15421875,0.015605526033789,0,34.419097674756,0.36960534036803,3.7264211915008,1.011872799953,533.54801530317,-0.0010005014411027,0.015372034423201,465.21478974735
0.15453125,0.0156373971775,0,34.418871468684,0.36961625693881,3.726294356943,1.0119029560557,533.72659779012,-0.0010035935722762,0.015402962848244,465.37117433124
0.15484375,0.015669269325958,0,34.576125634594,0.36962717387552,3.7261674946612,1.01193311272,533.90506372474,-0.0010066875506476,0.015433890386768,465.52746035567
0.15515625,0.015701142479158,0,34.654639699937,0.36963809117734,3.8047807622435,1.011963269946,534.08341318505,-0.0010097834315673,0.015464817038806,465.68364786573
0.15546875,0.015733016637096,0,34.733153822088,0.36964900884343,3.8046538448371,1.0119934277333,534.26164624939,-0.0010128806767624,0.01549574280439,465.83973690643
0.15578125,0.015764891799767,0,34.890408158419,0.3696599268728,3.8045269000292,1.0120235860819,534.43976299541,-0.0010159797094825,0.015526667683552,465.99572752325
0.15609375,0.015796767967164,0,35.047662551346,0.36967084526483,3.8043999279265,1.0120537449917,534.61776350092,-0.0010190804784097,0.015557591676322,466.15161976157
0.15640625,0.015828645139284,0,35.362397315724,0.36968176401875,3.8042729286349,1.0120839044624,534.79564784369,-0.0010221830036943,0.015588514782734,466.30741366696
0.15671875,0.015860523316122,0,35.519651821526,0.36969268313382,3.8041459022602,1.012114064494,534.97341610142,-0.001025287158554,0.015619437002818,466.46310928503
0.15703125,0.015892402497672,0,35.598166226129,0.36970360260911,3.8040188489073,1.0121442250863,535.15106835169,-0.0010283929418279,0.015650358336606,466.61870666158
0.15734375,0.015924282683929,0,35.755420844389,0.36971452244376,3.803891768681,1.0121743862391,535.32860467202,-0.0010315003039019,0.01568127878413,466.77420584248
0.15765625,0.015956163874888,0,35.912675518723,0.3697254426372,3.8037646616855,1.0122045479523,535.50602513965,-0.0010346094809457,0.015712198345422,466.92960687382
0.15796875,0.015988046070545,0,36.069930249026,0.36973636318873,3.8036375280243,1.0122347102258,535.68332983218,-0.0010377200774419,0.015743117020514,467.0849098016
0.15828125,0.016019929270895,0,36.148444877717,0.36974728409723,3.8035103678007,1.0122648730594,535.86051882653,-0.0010408325406384,0.015774034809436,467.24011467218
0.15859375,0.016051813475931,0,36.148219404692,0.36975820536217,3.8033831811175,1.012295036453,536.03759220004,-0.0010439466162905,0.015804951712221,467.39522153183
0.15890625,0.01608369868565,0,36.305474302292,0.36976912698283,3.8032559680768,1.0123252004064,536.21455002979,-0.0010470623209814,0.015835867728901,467.55023042701
0.15921875,0.016115584900046,0,36.383989097973,0.3697800489582,3.8031287287807,1.0123553649194,536.39139239283,-0.0010501795212422,0.015866782859506,467.70514140423
0.15953125,0.016147472119115,0,36.383763791635,0.36979097128764,3.8030014633303,1.012385529992,536.56811936606,-0.0010532982770329,0.015897697104069,467.85995451021
0.15984375,0.016179360342851,0,36.541018855617,0.36980189397064,3.8028741718267,1.0124156956239,536.74473102613,-0.0010564188669482,0.015928610462622,468.01466979176
